species,scale,CNDD,HNDDad,HNDDsap,r,n,ant.plant
MACABI,5,-3.494654572,-0.03042636,0.044476467,2.527892014,973,n
MACAFA,5,-4.74597766,-0.022922496,0.00870514,2.984261748,762,n
MACAIN,5,-4.846140284,0.016253932,-0.003722279,2.847829845,242,n
MACANE,5,-4.638307627,-0.008278235,0.011860354,2.940538741,949,n
MACAPU,5,-4.872651506,0.010048736,0.011913289,2.757581099,1080,n
MACAQU,5,-6.458505853,-0.072686694,0.016866694,3.534599851,103,n
MACATA,5,-5.022587871,-0.072227556,0.022260845,3.119648288,127,n
MALL01,5,-3.964968157,0.023200239,0.047260144,1.95822487,41,n
MALL02,5,-5.069626892,0.051457969,0.0298784,2.34089893,32,n
MALLOB,5,-4.525199194,-0.003794784,0.001679327,2.916315127,1816,n
MALLPE,5,-0.605205497,0.00317905,0.013875862,0.973985805,2561,n
MANILE,5,-4.603015543,0.003063191,0.002896501,2.795617749,1320,n
MANIME,5,-5.064888408,0.009847205,0.005848478,2.798866689,771,n
MANIPL,5,-4.326334878,-0.010128971,-0.004097939,2.834793553,220,n
MANIPS,5,-5.257157585,-0.005145229,0.003610848,2.922140723,1437,n
MANISC,5,-4.785639864,0.006215578,5.11E-05,2.864586592,2127,n
MARACO,5,-5.167465196,0.007622305,-0.001825903,2.829013841,105,n
MASTPA,5,-3.875598081,0.013542506,0.015841841,2.756201054,6775,n
MEDULA,5,-5.893526283,-0.000549647,0.005723442,2.867675569,1852,n
MELIEL,5,-6.232836416,-0.005102896,0.009092633,2.927044725,286,n
MELIPI,5,-5.02597165,-0.108751019,0.003308245,3.451935499,61,n
MERRME,5,-4.545444889,0.006648607,0.01262449,2.675443261,1192,n
MICR01,5,-4.35751723,-0.00681896,-0.013620625,2.967387699,18,n
MICRAR,5,-4.115674064,0.000686767,0.015133379,2.721842609,1604,n
MICRGR,5,-4.1772253,0.005166741,0.008235034,2.779347171,2612,n
MICRMI,5,-5.361557396,-0.003717729,-0.00198548,2.912551964,151,n
MICRST,5,-5.172333822,0.001675688,-0.007662837,3.058726413,436,n
MILLPI,5,-5.90185507,-0.004543455,0.007325457,3.022433654,102,n
MISCLA,5,-5.368268973,0.016177376,-0.014627935,2.920782443,188,n
MISCSU,5,-4.03455154,0.018476759,0.008787823,2.557591969,412,n
MORICI,5,-4.517107877,-0.026058801,0.009320158,2.935586723,73,n
MYRIBU,5,-5.695715832,0.090877547,-0.048149618,2.80423182,23,n
MYRICR,5,-4.809573371,-0.000510637,0.009430979,2.731410076,689,n
MYRIFA,5,-4.929049124,0.000360279,-0.000198368,2.889386927,2276,n
MYRIFI,5,-4.41189338,0.024903679,-0.00538951,2.682156127,127,n
MYRIGL,5,-5.64816362,0.001096837,0.004136012,2.862281694,1514,n
MYRIHO,5,-5.026492096,-0.001315627,0.009390561,2.805886591,132,n
MYRIIN,5,-5.707834437,-0.04765114,-0.0100493,3.426779157,39,n
MYRISC,5,-5.054143575,0.029210874,-0.027050198,3.001448623,135,n
MYRISU,5,-5.730007205,-0.001690974,-0.002561777,2.988392947,283,s
NAUCOR,5,-5.938103113,-0.031949863,0.0402348,3.046346526,304,n
NEISCI,5,-5.855615197,0.001936637,0.002709157,2.919690873,354,n
NEONOB,5,-5.321595822,-0.020206424,0.000753102,3.158787674,471,w
NEOSFO,5,-4.722780199,-0.001107499,0.013202335,2.625532743,227,n
NEUBCO,5,-4.824130517,-0.004774068,0.003588486,2.866632509,296,n
OREOTR,5,-2.277388419,-0.017854315,0.016951222,2.618640907,355,n
OSMONO,5,-7.073698353,0.000292759,0.008123533,2.942019104,185,n
PALAGA,5,-5.232048112,0.001646609,0.007959341,2.801422269,1087,n
PALAMO,5,-5.373069566,-0.005575945,0.010967237,2.822740164,366,n
PALAWA,5,-5.927431357,0.003862405,0.00257262,2.878657299,683,n
PANDDA,5,-6.117765327,-0.003380143,0.009448308,2.834074735,224,n
PANDKA,5,-6.764430244,0.016659292,-0.016564451,3.109510785,357,n
PANGED,5,-5.670796571,-0.007673172,0.003332322,2.981603077,694,n
PAVEPL,5,-4.839535786,-0.0060578,0.020451069,2.75381224,146,n
PHAE01,5,-5.133561246,-0.002213404,-0.018455627,3.042105638,53,n
PHAEMA,5,-4.485286919,-0.001489595,0.015357436,2.714192097,243,n
PHALMA,5,-1.684913622,-0.995329825,0.237743586,2.986247998,20,n
PICRJA,5,-5.80883573,0.008777249,-0.001209527,2.905314942,441,n
PIMEAM,5,-4.853757804,0.007143349,0.006377481,2.83218684,4613,n
PIPTAR,5,-0.432624352,0.114641214,0.024614084,-1.20597096,44,n
PISOLO,5,-3.592803271,-0.003730328,-0.007076787,2.954489955,1777,n
PISOUM,5,-3.086168283,-0.060376683,0.000429183,3.034808471,23,n
PITT01,5,-2.540362319,0.012952023,0.055613938,1.589863709,98,n
PLANMY,5,-4.737401969,0.003773027,0.005761077,2.738131288,1240,n
PLANXY,5,-4.942791214,-0.001911495,0.003618994,2.8586262,1760,n
PODONE,5,-6.95981287,-0.00370368,0.001950701,3.000860899,246,n
POLYGL,5,-6.096630165,0.006242928,-0.000995979,2.957617571,692,n
POLYOB,5,-5.48325094,0.00349131,0.00282251,2.818925465,814,n
POMEPI,5,-4.552835333,-0.004549782,0.006004275,3.00142268,4096,n
POUTFI,5,-4.606802576,0.009954274,0.007728486,2.728816753,834,n
